Preference Vector (1/5): 1.0, 0.0
48/100: weights=[0.2223862 1.7776136], train_loss=[1.2326494  0.39661726], train_acc=[0.54485833 0.85059167], test_loss=[1.2402022 0.5365839], test_acc=[0.53795 0.8047 ]
49/100: weights=[0.14174443 1.8582555 ], train_loss=[1.2137563  0.39686552], train_acc=[0.551725   0.85104167], test_loss=[1.2232792 0.5376543], test_acc=[0.54615 0.80505]
50/100: weights=[0.08121385 1.9187859 ], train_loss=[1.2527136  0.39527097], train_acc=[0.54108333 0.85115833], test_loss=[1.2610244 0.5385453], test_acc=[0.5323 0.8037]
51/100: weights=[0.31257915 1.6874207 ], train_loss=[1.2085273  0.39577675], train_acc=[0.55325    0.85166667], test_loss=[1.2208067  0.53766125], test_acc=[0.54465 0.80385]
52/100: weights=[-0.18481998  1.8151798 ], train_loss=[1.4319689  0.39982992], train_acc=[0.50409167 0.85021667], test_loss=[1.4370823 0.5427268], test_acc=[0.5015 0.8051]
53/100: weights=[0.02560486 1.974395  ], train_loss=[1.3957689  0.39991757], train_acc=[0.51324167 0.84931667], test_loss=[1.4045883  0.54200834], test_acc=[0.5071 0.8034]
54/100: weights=[0.09224163 1.9077584 ], train_loss=[1.3945862 0.396353 ], train_acc=[0.513625 0.85145 ], test_loss=[1.4076127  0.54389155], test_acc=[0.5051 0.8027]
55/100: weights=[0.18970457 1.8102955 ], train_loss=[1.164315   0.39311382], train_acc=[0.5698     0.85235833], test_loss=[1.1773268 0.5399641], test_acc=[0.5604  0.80535]
56/100: weights=[0.02304271 1.9769572 ], train_loss=[1.1696861 0.3924323], train_acc=[0.56865    0.85199167], test_loss=[1.183538   0.54033935], test_acc=[0.56075 0.80505]
57/100: weights=[0.23823847 1.7617615 ], train_loss=[1.1439013  0.39142588], train_acc=[0.57604167 0.85335833], test_loss=[1.1541935  0.53932315], test_acc=[0.5683 0.8069]
58/100: weights=[0.1022253 1.8977746], train_loss=[1.1300347  0.39357436], train_acc=[0.58069167 0.852725  ], test_loss=[1.1444428  0.54037553], test_acc=[0.573   0.80585]
59/100: weights=[0.4142543 1.5857457], train_loss=[1.1259289  0.39567146], train_acc=[0.58194167 0.851425  ], test_loss=[1.1421697  0.54492307], test_acc=[0.57305 0.80425]
60/100: weights=[0.21129248 1.7887077 ], train_loss=[1.1104858  0.38802052], train_acc=[0.58738333 0.85436667], test_loss=[1.1267228  0.53676647], test_acc=[0.58025 0.80745]
61/100: weights=[-0.05257344  1.9474264 ], train_loss=[1.1040517  0.38865554], train_acc=[0.58913333 0.85459167], test_loss=[1.1206443  0.53904897], test_acc=[0.5805 0.8063]
62/100: weights=[0.34339586 1.656604  ], train_loss=[1.0952302 0.3879815], train_acc=[0.592425   0.85371667], test_loss=[1.1093391  0.53720087], test_acc=[0.58275 0.8066 ]
63/100: weights=[0.20788771 1.7921124 ], train_loss=[1.0884418 0.3872241], train_acc=[0.59585  0.854775], test_loss=[1.1039473 0.5384432], test_acc=[0.5863  0.80645]
64/100: weights=[0.07859184 1.9214082 ], train_loss=[1.0777583  0.38713753], train_acc=[0.59889167 0.85451667], test_loss=[1.0940626 0.538129 ], test_acc=[0.59075 0.80685]
65/100: weights=[0.14376807 1.8562318 ], train_loss=[1.0762199  0.38702318], train_acc=[0.59954167 0.85468333], test_loss=[1.092474   0.53758645], test_acc=[0.5896  0.80775]
66/100: weights=[0.5601369 1.4398632], train_loss=[1.0678167  0.38855442], train_acc=[0.60163333 0.854175  ], test_loss=[1.084353  0.5376612], test_acc=[0.59445 0.80625]
67/100: weights=[0.31015396 1.6898459 ], train_loss=[1.0601033  0.38720158], train_acc=[0.60445    0.85420833], test_loss=[1.0768849 0.5396105], test_acc=[0.5949 0.8071]
68/100: weights=[-0.09041469  1.9095852 ], train_loss=[1.053423   0.38787726], train_acc=[0.60716667 0.85386667], test_loss=[1.0708642 0.540512 ], test_acc=[0.59635 0.805  ]
69/100: weights=[0.36141288 1.6385872 ], train_loss=[1.0523292  0.38803467], train_acc=[0.60796667 0.85393333], test_loss=[1.0701215  0.54099065], test_acc=[0.59755 0.8067 ]
70/100: weights=[0.3649653 1.6350346], train_loss=[1.0461825 0.3857362], train_acc=[0.61036667 0.8552    ], test_loss=[1.0634408  0.53897774], test_acc=[0.60055 0.8061 ]
71/100: weights=[0.14251794 1.8574821 ], train_loss=[1.0429722  0.38877365], train_acc=[0.61159167 0.85435   ], test_loss=[1.061819 0.542169], test_acc=[0.60215 0.80425]
72/100: weights=[0.5349673 1.4650326], train_loss=[1.0333669  0.38811117], train_acc=[0.6151     0.85378333], test_loss=[1.0509208 0.5417906], test_acc=[0.60555 0.8045 ]
73/100: weights=[-0.10646823  1.8935319 ], train_loss=[1.0272028  0.38629317], train_acc=[0.61666667 0.85435   ], test_loss=[1.0458943 0.5404561], test_acc=[0.60715 0.8069 ]
74/100: weights=[0.14057519 1.8594248 ], train_loss=[1.0201879  0.38630173], train_acc=[0.619175   0.85459167], test_loss=[1.039876  0.5411182], test_acc=[0.6073 0.8053]
75/100: weights=[0.27393043 1.7260696 ], train_loss=[1.0172331  0.38535765], train_acc=[0.620575   0.85540833], test_loss=[1.0369822 0.5398996], test_acc=[0.60905 0.8068 ]
76/100: weights=[0.2351753 1.7648246], train_loss=[1.0145551 0.3856632], train_acc=[0.62141667 0.85505   ], test_loss=[1.0342792  0.54149354], test_acc=[0.6113  0.80625]
77/100: weights=[0.36868402 1.6313161 ], train_loss=[1.0071797  0.38582236], train_acc=[0.62409167 0.85511667], test_loss=[1.0276837 0.5409703], test_acc=[0.6126 0.8074]
78/100: weights=[0.19713233 1.8028678 ], train_loss=[1.0103803 0.3849679], train_acc=[0.62273333 0.855425  ], test_loss=[1.0299829 0.5406102], test_acc=[0.6132  0.80625]
79/100: weights=[-0.04320478  1.9567952 ], train_loss=[1.0057935 0.3858296], train_acc=[0.62476667 0.85481667], test_loss=[1.0257812 0.541587 ], test_acc=[0.6138 0.8061]
80/100: weights=[0.15736724 1.8426328 ], train_loss=[1.0026072 0.3850401], train_acc=[0.6248   0.855375], test_loss=[1.0233734 0.5404121], test_acc=[0.6141  0.80725]
81/100: weights=[0.24015561 1.7598443 ], train_loss=[1.000276   0.38477358], train_acc=[0.62685833 0.85563333], test_loss=[1.0219288 0.5406528], test_acc=[0.61545 0.8067 ]
82/100: weights=[0.11253332 1.8874668 ], train_loss=[0.9939628  0.38575786], train_acc=[0.629025 0.8548  ], test_loss=[1.0155343  0.54208755], test_acc=[0.6178  0.80545]
83/100: weights=[-0.00772698  1.9922731 ], train_loss=[0.9907758  0.38537988], train_acc=[0.62966667 0.85556667], test_loss=[1.0125695 0.5416221], test_acc=[0.61745 0.80625]
84/100: weights=[0.20185411 1.798146  ], train_loss=[0.99064714 0.38517657], train_acc=[0.62991667 0.855625  ], test_loss=[1.0120432 0.5411337], test_acc=[0.618  0.8063]
85/100: weights=[0.21254528 1.7874546 ], train_loss=[0.9869448 0.3851786], train_acc=[0.63096667 0.85530833], test_loss=[1.0089339 0.5410113], test_acc=[0.62025 0.8067 ]
86/100: weights=[0.2075895 1.7924104], train_loss=[0.9847712  0.38581708], train_acc=[0.6317     0.85514167], test_loss=[1.0062418  0.54196185], test_acc=[0.6212  0.80655]
87/100: weights=[0.55901283 1.4409871 ], train_loss=[0.9834435  0.38571107], train_acc=[0.63214167 0.85499167], test_loss=[1.0055702 0.5419923], test_acc=[0.621   0.80625]
88/100: weights=[0.16912566 1.8308743 ], train_loss=[0.9812336  0.38506266], train_acc=[0.6331     0.85538333], test_loss=[1.003204   0.54064894], test_acc=[0.62185 0.8069 ]
89/100: weights=[0.40774632 1.5922537 ], train_loss=[0.97679985 0.38538486], train_acc=[0.63475  0.855375], test_loss=[0.99908805 0.5419546 ], test_acc=[0.62195 0.8055 ]
90/100: weights=[0.28562793 1.714372  ], train_loss=[0.9745975  0.38475946], train_acc=[0.63610833 0.85538333], test_loss=[0.99743396 0.54181325], test_acc=[0.62295 0.80645]
91/100: weights=[0.3124777 1.6875223], train_loss=[0.97349316 0.3849761 ], train_acc=[0.636825 0.8554  ], test_loss=[0.9961244 0.5418008], test_acc=[0.62325 0.806  ]
92/100: weights=[0.58609617 1.4139038 ], train_loss=[0.9724372  0.38477096], train_acc=[0.6373     0.85555833], test_loss=[0.99565417 0.5417853 ], test_acc=[0.62375 0.80675]
93/100: weights=[0.36989778 1.6301023 ], train_loss=[0.9710159  0.38468215], train_acc=[0.637      0.85533333], test_loss=[0.9932582  0.54162925], test_acc=[0.62535 0.8066 ]
94/100: weights=[0.4135314 1.5864687], train_loss=[0.9692421  0.38483176], train_acc=[0.63825  0.855375], test_loss=[0.9921598 0.5423425], test_acc=[0.62555 0.80535]
95/100: weights=[-0.06409056  1.9359094 ], train_loss=[0.96807986 0.38469172], train_acc=[0.63865833 0.85535   ], test_loss=[0.9911849 0.5421739], test_acc=[0.62575 0.8059 ]
