Preference Vector (1/5): 1.0, 0.0
57/100: weights=[0.37298244 1.6270176 ], train_loss=[0.71893054 0.26431012], train_acc=[0.761225 0.9029  ], test_loss=[0.7168149  0.42599064], test_acc=[0.75725 0.85235]
58/100: weights=[0.07355096 1.9264491 ], train_loss=[0.7176745  0.26559678], train_acc=[0.76146667 0.902575  ], test_loss=[0.7167892  0.42796162], test_acc=[0.7578  0.85145]
59/100: weights=[0.19501014 1.8049898 ], train_loss=[0.7206782 0.2647633], train_acc=[0.7603     0.90210833], test_loss=[0.7190799  0.42893335], test_acc=[0.757   0.85255]
60/100: weights=[0.19649841 1.8035016 ], train_loss=[0.7098756  0.26196387], train_acc=[0.764725 0.90385 ], test_loss=[0.7086482 0.4269785], test_acc=[0.7611 0.8518]
61/100: weights=[0.2652907 1.7347093], train_loss=[0.709665   0.26291743], train_acc=[0.76501667 0.90326667], test_loss=[0.7092953  0.42838413], test_acc=[0.75845 0.8523 ]
62/100: weights=[0.2752716 1.7247285], train_loss=[0.7066842  0.26295927], train_acc=[0.765575 0.90325 ], test_loss=[0.70531213 0.4288368 ], test_acc=[0.7604 0.8505]
63/100: weights=[0.33516595 1.664834  ], train_loss=[0.7075936  0.26105577], train_acc=[0.765675 0.9035  ], test_loss=[0.70693845 0.42706475], test_acc=[0.76095 0.8525 ]
64/100: weights=[0.2515353 1.7484646], train_loss=[0.70802975 0.26135617], train_acc=[0.765175   0.90406667], test_loss=[0.7074648  0.42748898], test_acc=[0.7599 0.8513]
65/100: weights=[0.16250634 1.8374937 ], train_loss=[0.70413953 0.26152053], train_acc=[0.76678333 0.90365833], test_loss=[0.7044799 0.4278699], test_acc=[0.7614 0.8519]
66/100: weights=[0.2558561 1.7441437], train_loss=[0.70003474 0.26197886], train_acc=[0.76761667 0.90395   ], test_loss=[0.69965994 0.43001798], test_acc=[0.7633 0.8523]
67/100: weights=[0.1771314 1.8228687], train_loss=[0.70090604 0.2620178 ], train_acc=[0.76768333 0.90331667], test_loss=[0.7014723  0.42891255], test_acc=[0.7614  0.85035]
68/100: weights=[0.2248216 1.7751786], train_loss=[0.7006247 0.2622271], train_acc=[0.76816667 0.9034    ], test_loss=[0.7013516  0.42958924], test_acc=[0.7626 0.8509]
69/100: weights=[0.10690671 1.8930933 ], train_loss=[0.69839996 0.2606691 ], train_acc=[0.76844167 0.90429167], test_loss=[0.69853723 0.43016744], test_acc=[0.7638  0.85265]
70/100: weights=[0.19319914 1.806801  ], train_loss=[0.69988734 0.25926736], train_acc=[0.76815    0.90446667], test_loss=[0.7004349  0.42759335], test_acc=[0.76375 0.85105]
71/100: weights=[0.31554684 1.6844531 ], train_loss=[0.6988216  0.26086885], train_acc=[0.769075   0.90440833], test_loss=[0.69834673 0.4291127 ], test_acc=[0.76395 0.851  ]
72/100: weights=[0.07669211 1.9233079 ], train_loss=[0.6995764  0.25995144], train_acc=[0.76805833 0.90453333], test_loss=[0.7015563 0.4301559], test_acc=[0.76205 0.8507 ]
73/100: weights=[0.23216224 1.7678378 ], train_loss=[0.6969852  0.25898892], train_acc=[0.769275 0.905175], test_loss=[0.6980693  0.43008694], test_acc=[0.76395 0.8517 ]
