Preference Vector (1/5): 1.0, 0.0
55/100: weights=[0.2182711 1.7817287], train_loss=[0.35790187 0.2104787 ], train_acc=[0.88374167 0.9291    ], test_loss=[0.375627   0.33449477], test_acc=[0.87575 0.8905 ]
56/100: weights=[0.3018894 1.6981106], train_loss=[0.36051783 0.20783287], train_acc=[0.88328333 0.93049167], test_loss=[0.37855828 0.33286592], test_acc=[0.87515 0.8924 ]
57/100: weights=[0.2917249 1.7082751], train_loss=[0.3588037  0.21213295], train_acc=[0.88385    0.92848333], test_loss=[0.37750044 0.34020132], test_acc=[0.8749  0.89015]
58/100: weights=[0.38941854 1.6105815 ], train_loss=[0.35583705 0.20976053], train_acc=[0.88450833 0.92989167], test_loss=[0.37204507 0.33575854], test_acc=[0.87695 0.89235]
59/100: weights=[0.6069935 1.3930066], train_loss=[0.35779968 0.21043763], train_acc=[0.88431667 0.92928333], test_loss=[0.37486047 0.33872062], test_acc=[0.8756  0.89135]
60/100: weights=[0.24875376 1.7512463 ], train_loss=[0.3552932  0.20494552], train_acc=[0.88536667 0.93196667], test_loss=[0.37080967 0.33306286], test_acc=[0.87795 0.8939 ]
61/100: weights=[0.4427878 1.5572122], train_loss=[0.35431567 0.20517434], train_acc=[0.885475   0.93150833], test_loss=[0.37199962 0.33348158], test_acc=[0.8768 0.8938]
62/100: weights=[0.33736372 1.6626364 ], train_loss=[0.35436147 0.20593756], train_acc=[0.88556667 0.93156667], test_loss=[0.37191963 0.3339854 ], test_acc=[0.8773  0.89285]
63/100: weights=[0.73451185 1.2654881 ], train_loss=[0.35409606 0.20505765], train_acc=[0.88525  0.931775], test_loss=[0.3714688 0.3351136], test_acc=[0.877   0.89265]
64/100: weights=[0.56173027 1.4382697 ], train_loss=[0.3539242 0.2042812], train_acc=[0.88519167 0.93198333], test_loss=[0.3715247  0.33443823], test_acc=[0.87715 0.8935 ]
65/100: weights=[0.31327114 1.6867288 ], train_loss=[0.35419786 0.20427376], train_acc=[0.88545    0.93165833], test_loss=[0.37185806 0.3352479 ], test_acc=[0.87715 0.8928 ]
66/100: weights=[0.4511296 1.5488703], train_loss=[0.35402727 0.20371026], train_acc=[0.88503333 0.93210833], test_loss=[0.37252983 0.33566102], test_acc=[0.87575 0.894  ]
67/100: weights=[0.24687591 1.7531241 ], train_loss=[0.35382575 0.20446   ], train_acc=[0.885325 0.931775], test_loss=[0.37204567 0.33574948], test_acc=[0.876  0.8929]
68/100: weights=[0.5576007 1.4423994], train_loss=[0.3533787  0.20368509], train_acc=[0.88600833 0.93230833], test_loss=[0.37139484 0.33707723], test_acc=[0.8773 0.893 ]
69/100: weights=[0.3744942 1.6255057], train_loss=[0.3529393  0.20293398], train_acc=[0.88589167 0.93265   ], test_loss=[0.37118998 0.3368218 ], test_acc=[0.87755 0.89375]
70/100: weights=[0.37554806 1.6244519 ], train_loss=[0.35282573 0.20160247], train_acc=[0.88581667 0.93279167], test_loss=[0.37264287 0.33480895], test_acc=[0.8771  0.89325]
71/100: weights=[0.63986486 1.3601352 ], train_loss=[0.3533301  0.20291388], train_acc=[0.88586667 0.93275   ], test_loss=[0.3712909  0.33574167], test_acc=[0.8786  0.89285]
72/100: weights=[0.35654128 1.6434588 ], train_loss=[0.35402903 0.20258665], train_acc=[0.8849     0.93298333], test_loss=[0.37226737 0.3346506 ], test_acc=[0.87705 0.89425]
73/100: weights=[0.22004029 1.7799597 ], train_loss=[0.35196432 0.202476  ], train_acc=[0.886775   0.93228333], test_loss=[0.370218   0.33687004], test_acc=[0.87805 0.89365]
74/100: weights=[0.3236407 1.6763593], train_loss=[0.35237423 0.20249887], train_acc=[0.88615833 0.932875  ], test_loss=[0.36983234 0.3371916 ], test_acc=[0.8779  0.89255]
75/100: weights=[0.16845639 1.8315436 ], train_loss=[0.35109708 0.20061375], train_acc=[0.8862     0.93329167], test_loss=[0.3694075 0.3351216], test_acc=[0.87675 0.8931 ]
76/100: weights=[0.34968027 1.6503197 ], train_loss=[0.35060227 0.20042382], train_acc=[0.88673333 0.93330833], test_loss=[0.36987498 0.3357584 ], test_acc=[0.878  0.8935]
77/100: weights=[0.7634334 1.2365665], train_loss=[0.3515552  0.20173337], train_acc=[0.8861   0.932675], test_loss=[0.3716563  0.33801773], test_acc=[0.87615 0.8932 ]
78/100: weights=[0.47072235 1.5292777 ], train_loss=[0.3508939 0.2002914], train_acc=[0.88645833 0.93389167], test_loss=[0.37018588 0.33655864], test_acc=[0.8783  0.89275]
79/100: weights=[0.6126247 1.3873752], train_loss=[0.3510609  0.20002766], train_acc=[0.88689167 0.933775  ], test_loss=[0.36928844 0.33625123], test_acc=[0.8786 0.8937]
80/100: weights=[0.5758635 1.4241365], train_loss=[0.3504191  0.19947383], train_acc=[0.88668333 0.9341    ], test_loss=[0.36947122 0.33574203], test_acc=[0.87725 0.8931 ]
81/100: weights=[0.6514203 1.3485796], train_loss=[0.35029176 0.199644  ], train_acc=[0.88681667 0.93393333], test_loss=[0.36888376 0.33585152], test_acc=[0.8781  0.89285]
82/100: weights=[0.31485787 1.6851422 ], train_loss=[0.35044247 0.20010777], train_acc=[0.88675833 0.93354167], test_loss=[0.36963367 0.33611694], test_acc=[0.8778 0.8931]
